event_date,code,market,status_type,status_value,source,source_url,raw_path,confidence,notes
2026-04-03,458610,KOSDAQ,delisting,delisted,kind,https://kind.krx.co.kr/investwarn/delcompany.do?method=searchDelCompanyMain,_report/raw/2026/2026-07-09/kind/status-source-probe/delisted_company.xls,high,snapshot=delisted_company; 회사명=한국제12호스팩; 폐지사유=상장예비심사신청서 미제출 등으로 관리종목으로 지정된 날부터 1개월 이내 동 사유 미해소; market_enrichment=market_data_join:KOSDAQ
2026-04-03,473370,KOSDAQ,delisting,delisted,kind,https://kind.krx.co.kr/investwarn/delcompany.do?method=searchDelCompanyMain,_report/raw/2026/2026-07-09/kind/status-source-probe/delisted_company.xls,high,snapshot=delisted_company; 회사명=비엔케이제2호스팩; 폐지사유=피흡수합병(스팩소멸합병); market_enrichment=market_data_join:KOSDAQ
2026-04-06,444920,KOSDAQ,delisting,delisted,kind,https://kind.krx.co.kr/investwarn/delcompany.do?method=searchDelCompanyMain,_report/raw/2026/2026-07-09/kind/status-source-probe/delisted_company.xls,high,snapshot=delisted_company; 회사명=유안타제11호스팩; 폐지사유=상장예비심사신청서 미제출 등으로 관리종목으로 지정된 날부터 1개월 이내 동 사유 미해소; market_enrichment=market_data_join:KOSDAQ
2026-04-07,309710,UNKNOWN,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,high,snapshot=managed_issue; 종목명=아이티켐; 지정사유=상장폐지사유 발생
2026-04-08,006490,KOSPI,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,high,snapshot=managed_issue; 종목명=프리티; 지정사유=자본잠식(자본금의 50/100이상 잠식); market_enrichment=market_data_join:KOSPI
2026-04-08,011000,KOSPI,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,high,snapshot=managed_issue; 종목명=진원생명과학; 지정사유=자본잠식(자본금의 50/100이상 잠식); market_enrichment=market_data_join:KOSPI
2026-04-08,043100,KOSDAQ,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,high,"snapshot=managed_issue; 종목명=알파AI; 지정사유=회생절차 개시신청,상장폐지사유 발생; market_enrichment=market_data_join:KOSDAQ"
2026-04-08,276040,KOSDAQ,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,high,"snapshot=managed_issue; 종목명=스코넥; 지정사유=파산신청,상장폐지사유 발생; market_enrichment=market_data_join:KOSDAQ"
2026-04-08,393970,KOSDAQ,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,high,"snapshot=managed_issue; 종목명=대진첨단소재; 지정사유=상장폐지사유 발생,상장적격성 실질심사 대상 결정; market_enrichment=market_data_join:KOSDAQ"
2026-04-13,340930,KOSDAQ,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,high,"snapshot=managed_issue; 종목명=성원에너텍; 지정사유=회생절차 개시신청,상장폐지사유 발생; market_enrichment=market_data_join:KOSDAQ"
2026-04-15,455310,KOSDAQ,delisting,delisted,kind,https://kind.krx.co.kr/investwarn/delcompany.do?method=searchDelCompanyMain,_report/raw/2026/2026-07-09/kind/status-source-probe/delisted_company.xls,high,snapshot=delisted_company; 회사명=한화플러스제4호스팩; 폐지사유=합병상장예비심사신청서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소; market_enrichment=market_data_join:KOSDAQ
2026-04-15,457630,KOSDAQ,delisting,delisted,kind,https://kind.krx.co.kr/investwarn/delcompany.do?method=searchDelCompanyMain,_report/raw/2026/2026-07-09/kind/status-source-probe/delisted_company.xls,high,snapshot=delisted_company; 회사명=대신밸런스제16호스팩; 폐지사유=상장예비심사신청서 미제출 등으로 관리종목으로 지정된 날부터 1개월 이내 동 사유 미해소; market_enrichment=market_data_join:KOSDAQ
2026-04-16,024830,KOSDAQ,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,high,snapshot=managed_issue; 종목명=세원물산; 지정사유=주식분산기준미달; market_enrichment=market_data_join:KOSDAQ
2026-04-16,032960,KOSDAQ,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,high,snapshot=managed_issue; 종목명=동일기연; 지정사유=주식분산기준미달; market_enrichment=market_data_join:KOSDAQ
2026-04-16,138490,KOSPI,delisting,delisted,kind,https://kind.krx.co.kr/investwarn/delcompany.do?method=searchDelCompanyMain,_report/raw/2026/2026-07-09/kind/status-source-probe/delisted_company.xls,high,snapshot=delisted_company; 회사명=코오롱ENP; 폐지사유=해산 사유 발생; market_enrichment=market_data_join:KOSPI
