event_date,code,market,status_type,status_value,source,source_url,raw_path,confidence,notes
2025-01-15,068940,UNKNOWN,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls,high,"snapshot=managed_issue; 종목명=셀피글로벌; 지정사유=상장적격성 실질심사 대상 결정,상장폐지사유 발생"
2025-03-17,418250,UNKNOWN,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls,high,snapshot=managed_issue; 종목명=시큐레터; 지정사유=상장적격성 실질심사 대상 결정
2025-03-21,009440,UNKNOWN,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls,high,"snapshot=managed_issue; 종목명=KC그린홀딩스; 지정사유=반기검토의견 의견거절,상장폐지 사유의 발생"
2025-03-21,065570,UNKNOWN,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls,high,"snapshot=managed_issue; 종목명=삼영이엔씨; 지정사유=상장적격성 실질심사 대상 결정,상장폐지사유 발생"
2025-03-21,180400,UNKNOWN,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls,high,snapshot=managed_issue; 종목명=DXVX; 지정사유=최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생
2025-03-24,049180,UNKNOWN,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls,high,"snapshot=managed_issue; 종목명=셀루메드; 지정사유=상장폐지사유 발생,자본잠식률 50% 이상,최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생"
2025-03-24,073570,UNKNOWN,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls,high,snapshot=managed_issue; 종목명=리튬포어스; 지정사유=최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생
2025-03-24,079970,UNKNOWN,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls,high,snapshot=managed_issue; 종목명=투비소프트; 지정사유=상장폐지사유 발생
2025-03-24,196300,UNKNOWN,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls,high,snapshot=managed_issue; 종목명=HLB펩; 지정사유=최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생
2025-03-24,219550,UNKNOWN,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls,high,snapshot=managed_issue; 종목명=디와이디; 지정사유=최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생
2025-03-24,284620,UNKNOWN,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls,high,"snapshot=managed_issue; 종목명=카이노스메드; 지정사유=최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생,상장폐지사유 발생,상장적격성 실질심사 대상 결정,자본잠식률 50% 이상"
2025-03-24,288330,UNKNOWN,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls,high,"snapshot=managed_issue; 종목명=파라택시스코리아; 지정사유=최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생,상장폐지사유 발생,상장적격성 실질심사 대상 결정"
2025-03-24,294090,UNKNOWN,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls,high,"snapshot=managed_issue; 종목명=이오플로우; 지정사유=상장적격성 실질심사 대상 결정,상장폐지사유 발생"
2025-03-24,298060,UNKNOWN,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls,high,"snapshot=managed_issue; 종목명=풍전약품; 지정사유=최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생,최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생"
2025-03-25,241820,UNKNOWN,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls,high,"snapshot=managed_issue; 종목명=피씨엘; 지정사유=상장적격성 실질심사 대상 결정,자본잠식률 50% 이상,매출액 30억원 미달,상장폐지사유 발생"
2025-03-26,052770,UNKNOWN,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls,high,"snapshot=managed_issue; 종목명=아이톡시; 지정사유=시가총액 미달,상장폐지사유 발생,자본잠식률 50% 이상"
2025-04-01,001470,UNKNOWN,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls,high,"snapshot=managed_issue; 종목명=삼부토건; 지정사유=상장폐지 사유의 발생,회생절차개시신청,반기검토의견 의견거절"
2025-04-01,043220,UNKNOWN,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls,high,"snapshot=managed_issue; 종목명=티에스넥스젠; 지정사유=회생절차 개시신청,상장적격성 실질심사 대상 결정,상장폐지사유 발생"
2025-04-02,121800,UNKNOWN,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls,high,"snapshot=managed_issue; 종목명=비덴트; 지정사유=상장폐지사유 발생,상장적격성 실질심사 대상 결정"
2025-04-07,352770,UNKNOWN,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls,high,"snapshot=managed_issue; 종목명=셀레스트라; 지정사유=회생절차 개시신청,파산신청,상장폐지사유 발생"
