date,code,stock_name,market,signal_state,horizon_trading_days,evaluation_status,forward_date,signal_close,forward_close,raw_forward_return_pct,directional_forward_score_pct,source_strategy,signal_mode,evaluation_mode
2025-02-04,065650,하이퍼코퍼레이션,KOSDAQ,SELL candidate,5,complete,2025-02-11,686.0000,550.0000,-19.8251,19.8251,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,024830,세원물산,KOSDAQ,SELL candidate,1,complete,2025-02-05,8430.0000,8350.0000,-0.9490,0.9490,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,024830,세원물산,KOSDAQ,SELL candidate,5,complete,2025-02-11,8430.0000,8350.0000,-0.9490,0.9490,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,080580,오킨스전자,KOSDAQ,SELL candidate,1,complete,2025-02-05,5290.0000,5300.0000,0.1890,-0.1890,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,080580,오킨스전자,KOSDAQ,SELL candidate,5,complete,2025-02-11,5290.0000,5510.0000,4.1588,-4.1588,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,031980,피에스케이홀딩스,KOSDAQ,SELL candidate,1,complete,2025-02-05,46400.0000,49200.0000,6.0345,-6.0345,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,031980,피에스케이홀딩스,KOSDAQ,SELL candidate,5,complete,2025-02-11,46400.0000,52000.0000,12.0690,-12.0690,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,033100,제룡전기,KOSDAQ,SELL candidate,1,complete,2025-02-05,45350.0000,45000.0000,-0.7718,0.7718,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,033100,제룡전기,KOSDAQ,SELL candidate,5,complete,2025-02-11,45350.0000,42550.0000,-6.1742,6.1742,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,009470,삼화전기,KOSPI,SELL candidate,1,complete,2025-02-05,32850.0000,33250.0000,1.2177,-1.2177,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,009470,삼화전기,KOSPI,SELL candidate,5,complete,2025-02-11,32850.0000,40950.0000,24.6575,-24.6575,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,051980,중앙첨단소재,KOSDAQ,SELL candidate,1,complete,2025-02-05,6590.0000,6830.0000,3.6419,-3.6419,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,051980,중앙첨단소재,KOSDAQ,SELL candidate,5,complete,2025-02-11,6590.0000,6910.0000,4.8558,-4.8558,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,089030,테크윙,KOSDAQ,SELL candidate,1,complete,2025-02-05,41000.0000,41000.0000,0.0000,-0.0000,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,089030,테크윙,KOSDAQ,SELL candidate,5,complete,2025-02-11,41000.0000,42300.0000,3.1707,-3.1707,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,095340,ISC,KOSDAQ,SELL candidate,1,complete,2025-02-05,60600.0000,66100.0000,9.0759,-9.0759,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,095340,ISC,KOSDAQ,SELL candidate,5,complete,2025-02-11,60600.0000,73800.0000,21.7822,-21.7822,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
