code,name,market,security_type,listing_date,listing_age_calendar_days,base_status,base_reason,status,reason,avg_trading_value_20d_krw,liquidity_filter_status,liquidity_filter_reason,liquidity_rows_available,liquidity_rows_used,liquidity_latest_date,liquidity_raw_path
045060,오공,KOSDAQ,보통주,2000/08/10,9438,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
045100,한양이엔지,KOSDAQ,보통주,2000/08/31,9417,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
045300,성우테크론,KOSDAQ,보통주,2001/12/18,8943,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
045340,토탈소프트,KOSDAQ,보통주,2002/07/19,8730,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
045390,대아티아이,KOSDAQ,보통주,2001/05/17,9158,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
045510,정원엔시스,KOSDAQ,보통주,2000/09/07,9410,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
045520,크린앤사이언스,KOSDAQ,보통주,2000/12/05,9321,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
045660,에이텍,KOSDAQ,보통주,2001/05/24,9151,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
045970,코아시아,KOSDAQ,보통주,2000/08/03,9445,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
046070,코다코,KOSDAQ,보통주,2000/12/26,9300,exclude,managed_issue_current,exclude,managed_issue_current,,not_evaluated_preexisting_exclude,pre_liquidity_exclude,0,0,,
046120,오르비텍,KOSDAQ,보통주,2010/06/15,5842,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
046210,HLB파나진,KOSDAQ,보통주,2000/08/16,9432,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
046310,백금T&A,KOSDAQ,보통주,2002/02/05,8894,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
046390,삼화네트웍스,KOSDAQ,보통주,2001/01/11,9284,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
046440,KG파이낸셜,KOSDAQ,보통주,2004/12/14,7851,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
046890,서울반도체,KOSDAQ GLOBAL,보통주,2002/01/17,8913,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
