date,code,stock_name,market,target_side,target_weight,rank_in_portfolio,source_signal_state,source_rank_in_date_state,source_roc_pct,source_strategy,source_signal_mode,portfolio_mode,target_mode,order_intent_generated
2025-04-03,273060,와이즈버즈,KOSDAQ,LONG,0.050000,14,BUY candidate,14,35.0806,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-03,052220,iMBC,KOSDAQ,LONG,0.050000,15,BUY candidate,15,33.1754,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-03,012170,아센디오,KOSPI,LONG,0.050000,16,BUY candidate,16,31.4286,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-03,066430,와이오엠,KOSDAQ,LONG,0.050000,17,BUY candidate,17,24.2857,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-03,010770,평화홀딩스,KOSPI,LONG,0.050000,18,BUY candidate,18,22.5962,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-03,090080,평화산업,KOSPI,LONG,0.050000,19,BUY candidate,19,21.3636,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-03,087010,펩트론,KOSDAQ,LONG,0.050000,20,BUY candidate,20,20.8666,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-04,308100,형지글로벌,KOSDAQ,LONG,0.050000,1,BUY candidate,1,141.2262,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-04,258790,소프트캠프,KOSDAQ,LONG,0.050000,2,BUY candidate,2,100.6522,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-04,011080,형지I&C,KOSDAQ,LONG,0.050000,3,BUY candidate,3,93.9006,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-04,088340,유라클,KOSDAQ,LONG,0.050000,4,BUY candidate,4,93.4189,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-04,008600,윌비스,KOSPI,LONG,0.050000,5,BUY candidate,5,91.7949,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-04,010770,평화홀딩스,KOSPI,LONG,0.050000,6,BUY candidate,6,73.1707,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-04,053580,웹케시,KOSDAQ,LONG,0.050000,7,BUY candidate,7,71.5831,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-04,011090,에넥스,KOSPI,LONG,0.050000,8,BUY candidate,8,71.3178,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-04,435570,에르코스,KOSDAQ,LONG,0.050000,9,BUY candidate,9,69.1092,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-04,048430,유라테크,KOSDAQ,LONG,0.050000,10,BUY candidate,10,59.7015,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-04,090080,평화산업,KOSPI,LONG,0.050000,11,BUY candidate,11,49.2537,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-04,004770,써니전자,KOSPI,LONG,0.050000,12,BUY candidate,12,44.7867,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-04,388720,유일로보틱스,KOSDAQ,LONG,0.050000,13,BUY candidate,13,44.7735,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-04,376980,원티드랩,KOSDAQ,LONG,0.050000,14,BUY candidate,14,43.0605,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-04,001000,신라섬유,KOSDAQ,LONG,0.050000,15,BUY candidate,15,42.8571,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-04,475460,미트박스,KOSDAQ,LONG,0.050000,16,BUY candidate,16,41.1282,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-04,075130,플랜티넷,KOSDAQ,LONG,0.050000,17,BUY candidate,17,38.7755,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-04,407400,꿈비,KOSDAQ,LONG,0.050000,18,BUY candidate,18,35.5091,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-04-04,014160,대영포장,KOSPI,LONG,0.050000,19,BUY candidate,19,34.9810,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
