date,code,stock_name,market,horizon_trading_days,evaluation_status,forward_date,target_side,target_weight,raw_forward_return_pct,weighted_return_contribution_pct,benchmark_label,benchmark_join_status,benchmark_return_pct,excess_return_pct,weighted_excess_return_contribution_pct,source_signal_state,target_mode,pnl_mode,order_intent_generated
2025-02-05,219550,디와이디,KOSDAQ,1,complete,2025-02-06,LONG,0.050000,12.0253,0.6013,KOSPI,complete,1.0951,10.9302,0.5465,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-05,393210,토마토시스템,KOSDAQ,1,complete,2025-02-06,LONG,0.050000,4.5455,0.2273,KOSPI,complete,1.0951,3.4504,0.1725,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-05,232680,라온테크,KOSDAQ,1,complete,2025-02-06,LONG,0.050000,2.5137,0.1257,KOSPI,complete,1.0951,1.4186,0.0709,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-05,032580,피델릭스,KOSDAQ,1,complete,2025-02-06,LONG,0.050000,-5.2759,-0.2638,KOSPI,complete,1.0951,-6.3710,-0.3186,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-05,033160,엠케이전자,KOSDAQ,1,complete,2025-02-06,LONG,0.050000,0.7487,0.0374,KOSPI,complete,1.0951,-0.3464,-0.0173,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-05,000910,유니온,KOSPI,1,complete,2025-02-06,LONG,0.050000,-5.0505,-0.2525,KOSPI,complete,1.0951,-6.1456,-0.3073,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-05,176750,듀켐바이오,KOSDAQ,1,complete,2025-02-06,LONG,0.050000,0.5982,0.0299,KOSPI,complete,1.0951,-0.4969,-0.0248,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-06,351320,에스에이티이엔지,KOSDAQ,1,complete,2025-02-07,LONG,0.050000,-10.0358,-0.5018,KOSPI,complete,-0.5846,-9.4512,-0.4726,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-06,382150,온코크로스,KOSDAQ,1,complete,2025-02-07,LONG,0.050000,-4.8967,-0.2448,KOSPI,complete,-0.5846,-4.3121,-0.2156,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-06,301300,바이브컴퍼니,KOSDAQ,1,complete,2025-02-07,LONG,0.050000,-5.1395,-0.2570,KOSPI,complete,-0.5846,-4.5549,-0.2277,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-06,067160,SOOP,KOSDAQ,1,complete,2025-02-07,LONG,0.050000,-1.3292,-0.0665,KOSPI,complete,-0.5846,-0.7446,-0.0372,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
