date,code,stock_name,market,close,signal_state,roc_pct,lookback,rank_in_date_state,source_strategy,signal_mode,pit_liquidity_final_status
2025-01-15,109820,진매트릭스,KOSDAQ,3025,SELL candidate,-20.4993,5,9,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-15,007370,진양제약,KOSDAQ,6410,SELL candidate,-19.1677,5,10,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-15,058110,멕아이씨에스,KOSDAQ,2430,SELL candidate,-18.4564,5,11,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-15,476060,온코닉테라퓨틱스,KOSDAQ,15610,SELL candidate,-18.1007,5,12,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-15,123010,아이윈플러스,KOSDAQ,1335,SELL candidate,-18.0982,5,13,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-15,221800,유투바이오,KOSDAQ,3055,SELL candidate,-18.0965,5,14,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-15,219550,디와이디,KOSDAQ,576,SELL candidate,-17.5966,5,15,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-15,066310,큐에스아이,KOSDAQ,7960,SELL candidate,-17.1696,5,16,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-15,115450,HLB테라퓨틱스,KOSDAQ,11450,SELL candidate,-16.7273,5,17,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-15,188260,세니젠,KOSDAQ,3015,SELL candidate,-16.7127,5,18,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-15,356680,엑스게이트,KOSDAQ,8100,SELL candidate,-16.4948,5,19,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-15,015020,이스타코,KOSPI,1510,SELL candidate,-16.4361,5,20,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-16,106240,파인테크닉스,KOSDAQ,1783,BUY candidate,73.9512,5,1,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-16,073190,듀오백,KOSDAQ,2810,BUY candidate,48.6772,5,2,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-16,044340,위닉스,KOSDAQ,7230,BUY candidate,46.5046,5,3,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-16,450140,코오롱모빌리티그룹,KOSPI,3375,BUY candidate,46.1039,5,4,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-16,199820,제일일렉트릭,KOSDAQ,13210,BUY candidate,45.8057,5,5,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-16,363260,모비데이즈,KOSDAQ,2495,BUY candidate,38.9198,5,6,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-16,028080,휴맥스홀딩스,KOSDAQ,3465,BUY candidate,38.6000,5,7,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-16,219420,링크제니시스,KOSDAQ,8140,BUY candidate,37.7327,5,8,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-16,025750,한솔홈데코,KOSPI,985,BUY candidate,36.0497,5,9,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-16,093380,풍강,KOSDAQ,3235,BUY candidate,34.5114,5,10,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-16,457550,우진엔텍,KOSDAQ,20350,BUY candidate,33.8816,5,11,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-16,017510,세명전기,KOSDAQ,6550,BUY candidate,32.9949,5,12,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-16,147830,제룡산업,KOSDAQ,7540,BUY candidate,31.1304,5,13,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-16,229000,젠큐릭스,KOSDAQ,2280,BUY candidate,30.7339,5,14,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-16,008730,율촌화학,KOSPI,30500,BUY candidate,30.6210,5,15,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-16,366030,공구우먼,KOSDAQ,4950,BUY candidate,30.4348,5,16,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-16,460930,현대힘스,KOSDAQ,18900,BUY candidate,30.1653,5,17,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-16,014160,대영포장,KOSPI,1459,BUY candidate,28.2074,5,18,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-16,357550,석경에이티,KOSDAQ,46550,BUY candidate,27.0123,5,19,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-16,226400,오스테오닉,KOSDAQ,8330,BUY candidate,26.7884,5,20,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-16,178780,일월지엠엘,KOSDAQ,3370,SELL candidate,-61.0405,5,1,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-16,019490,하이트론,KOSPI,2100,SELL candidate,-35.7798,5,2,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-16,206400,베노티앤알,KOSDAQ,1793,SELL candidate,-35.7348,5,3,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-16,101140,인바이오젠,KOSPI,6500,SELL candidate,-30.4069,5,4,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-16,012170,아센디오,KOSPI,290,SELL candidate,-24.8705,5,5,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-16,113810,디젠스,KOSDAQ,1434,SELL candidate,-24.0064,5,6,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-16,214610,미코바이오메드,KOSDAQ,1425,SELL candidate,-22.3433,5,7,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-16,188260,세니젠,KOSDAQ,3080,SELL candidate,-22.3203,5,8,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-16,002630,오리엔트바이오,KOSPI,1452,SELL candidate,-21.8094,5,9,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-16,025950,동신건설,KOSDAQ,45700,SELL candidate,-19.9650,5,10,001-strategy-universe-momentum,paper_signal_candidate_only,include
