code,name,market,security_type,status,reason
090355,노루페인트우,KOSPI,구형우선주,exclude,instrument_type_excluded
090435,아모레퍼시픽우,KOSPI,구형우선주,exclude,instrument_type_excluded
092590,럭스피아,KONEX,보통주,exclude,market_not_allowed
093510,엔지브이아이,KONEX,보통주,exclude,market_not_allowed
096610,알에프세미,KOSDAQ,보통주,exclude,managed_issue_current
096775,SK이노베이션우,KOSPI,구형우선주,exclude,instrument_type_excluded
097955,CJ제일제당 우,KOSPI,구형우선주,exclude,instrument_type_excluded
099520,DGI,KOSDAQ,보통주,exclude,managed_issue_current
101390,아이엠,KOSDAQ,보통주,exclude,managed_issue_current
102950,아하,KONEX,보통주,exclude,market_not_allowed
103660,씨앗,KONEX,보통주,exclude,market_not_allowed
106080,케이이엠텍,KOSDAQ,보통주,exclude,managed_issue_current
106520,노블엠앤비,KOSDAQ,보통주,exclude,managed_issue_current
108675,LX하우시스우,KOSPI,구형우선주,exclude,instrument_type_excluded
112190,KC산업,KONEX,보통주,exclude,market_not_allowed
114920,대주이엔티,KONEX,보통주,exclude,market_not_allowed
116100,태양기계,KONEX,보통주,exclude,market_not_allowed
120115,코오롱인더우,KOSPI,구형우선주,exclude,instrument_type_excluded
121060,유니포인트,KONEX,보통주,exclude,market_not_allowed
121800,비덴트,KOSDAQ,보통주,exclude,managed_issue_current
121850,코이즈,KOSDAQ,보통주,exclude,managed_issue_current
122830,원포유,KONEX,보통주,exclude,market_not_allowed
136660,큐엠씨,KONEX,보통주,exclude,market_not_allowed
138040,메리츠금융지주,KOSPI,보통주,exclude,instrument_name_excluded
140610,엔솔바이오사이언스,KONEX,보통주,exclude,market_not_allowed
140660,위월드,KONEX,보통주,exclude,market_not_allowed
145210,다이나믹디자인,KOSPI,보통주,exclude,managed_issue_current
145270,케이탑리츠,KOSPI,보통주,exclude,instrument_name_excluded
145995,삼양사우,KOSPI,구형우선주,exclude,instrument_type_excluded
149010,아이케이세미콘,KONEX,보통주,exclude,market_not_allowed
159910,에코글로우,KOSDAQ,보통주,exclude,preferred_share_name
162120,루켄테크놀러지스,KONEX,보통주,exclude,market_not_allowed
169670,코스텍시스템,KONEX,보통주,exclude,market_not_allowed
175250,아이큐어,KOSDAQ,보통주,exclude,managed_issue_current
176590,코나솔,KONEX,보통주,exclude,market_not_allowed
178600,대동고려삼,KONEX,보통주,exclude,market_not_allowed
179720,머니무브,KONEX,보통주,exclude,market_not_allowed
180060,탑선,KONEX,보통주,exclude,market_not_allowed
180400,DXVX,KOSDAQ,보통주,exclude,managed_issue_current
18064K,한진칼우,KOSPI,종류주권,exclude,preferred_share_name
182400,엔케이젠바이오텍코리아,KOSDAQ,보통주,exclude,managed_issue_current
183490,엔지켐생명과학,KOSDAQ,보통주,exclude,managed_issue_current
185190,수프로,KONEX,보통주,exclude,market_not_allowed
188260,세니젠,KOSDAQ,보통주,exclude,managed_issue_current
189350,코셋,KONEX,보통주,exclude,market_not_allowed
191600,블루탑,KONEX,보통주,exclude,market_not_allowed
195990,에이비프로바이오,KOSDAQ,보통주,exclude,managed_issue_current
196300,HLB펩,KOSDAQ,보통주,exclude,managed_issue_current
196490,디에이테크놀로지,KOSDAQ,보통주,exclude,managed_issue_current
199150,데이터스트림즈,KONEX,보통주,exclude,market_not_allowed
199290,바이오프로테크,KONEX,보통주,exclude,market_not_allowed
200580,메디쎄이,KONEX,보통주,exclude,market_not_allowed
202960,판도라티비,KONEX,보통주,exclude,market_not_allowed
203690,아크솔루션스,KOSDAQ,보통주,exclude,managed_issue_current
206950,볼빅,KONEX,보통주,exclude,market_not_allowed
