date,code,stock_name,market,target_side,target_weight,rank_in_portfolio,source_signal_state,source_rank_in_date_state,source_roc_pct,source_strategy,source_signal_mode,portfolio_mode,target_mode,order_intent_generated
2025-02-06,171010,램테크놀러지,KOSDAQ,LONG,0.050000,16,BUY candidate,16,59.6059,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-06,430690,한싹,KOSDAQ,LONG,0.050000,17,BUY candidate,17,58.1633,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-06,108490,로보티즈,KOSDAQ,LONG,0.050000,18,BUY candidate,18,54.8902,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-06,411080,샌즈랩,KOSDAQ,LONG,0.050000,19,BUY candidate,19,53.1609,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-06,042000,카페24,KOSDAQ,LONG,0.050000,20,BUY candidate,20,52.9891,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-07,010100,한국무브넥스,KOSPI,LONG,0.050000,1,BUY candidate,1,135.4391,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-07,160190,하이젠알앤엠,KOSDAQ,LONG,0.050000,2,BUY candidate,2,127.3499,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-07,161580,필옵틱스,KOSDAQ,LONG,0.050000,3,BUY candidate,3,112.9496,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-07,098460,고영,KOSDAQ,LONG,0.050000,4,BUY candidate,4,100.8869,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-07,351320,에스에이티이엔지,KOSDAQ,LONG,0.050000,5,BUY candidate,5,89.2911,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-07,112290,와이씨켐,KOSDAQ,LONG,0.050000,6,BUY candidate,6,88.1051,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-07,171010,램테크놀러지,KOSDAQ,LONG,0.050000,7,BUY candidate,7,80.7692,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-07,277810,레인보우로보틱스,KOSDAQ,LONG,0.050000,8,BUY candidate,8,76.1803,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-07,168360,펨트론,KOSDAQ,LONG,0.050000,9,BUY candidate,9,74.1573,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-07,332570,와이팜,KOSDAQ,LONG,0.050000,10,BUY candidate,10,68.6380,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-07,080220,제주반도체,KOSDAQ,LONG,0.050000,11,BUY candidate,11,68.6176,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-07,466100,클로봇,KOSDAQ,LONG,0.050000,12,BUY candidate,12,66.0870,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-07,219550,디와이디,KOSDAQ,LONG,0.050000,13,BUY candidate,13,64.1818,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-07,042660,한화오션,KOSPI,LONG,0.050000,14,BUY candidate,14,62.4672,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-07,115310,인포바인,KOSDAQ,LONG,0.050000,15,BUY candidate,15,55.7971,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-07,119850,지엔씨에너지,KOSDAQ,LONG,0.050000,16,BUY candidate,16,54.2022,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-07,301300,바이브컴퍼니,KOSDAQ,LONG,0.050000,17,BUY candidate,17,53.4442,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-07,042000,카페24,KOSDAQ,LONG,0.050000,18,BUY candidate,18,52.6738,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-07,064350,현대로템,KOSPI,LONG,0.050000,19,BUY candidate,19,52.1989,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-07,089010,켐트로닉스,KOSDAQ,LONG,0.050000,20,BUY candidate,20,52.1610,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
